,text,sentiment
0,かもん,0
1,建て直した,0
2,"el em aye oh, im just tryna speak in her language",0
3,And i got betrayed by the one that I’m supposed to help.....()......and im still supposed to help,0
4,I was today years old when I found out Picasso copied African Cubism,1
5,"Ahh the times when my friend always played ""alabama nigger"" when we went to school together. Everyone was chuckling but he was blastin' to it. Good memories.",1
6,"Me when I hate myself, you're from Africa nigger, deal with it: https://twitter.com/Stretchfiddy7/status/1304524011267862528 …",-1
7,I was awakened. None of this niggers here will code your website from ground up. They are picking and dropping templates with the help of NO CODE websites. Haha. Ignorance will cost you. It’s stuff you can do Begin here https://wordpress.com/start/personal/user?ref=logged-out-homepage-lp … Usichezwe,1
8,This speaks volume to how a Mother’s 71 Day Hunger Strike against inequality on college campus is met when one of Duquesne professors is allowed to used the Nigger word in class! @washingtonpost @OgeTheYogi @nytimes @iamjamiefoxx @johnlegend @CoachTomlin @GayleKing @oprahmagazinepic.twitter.com/TZy04WP5Op,0
9,כן! זה ממש מפחיד ומטריד. לספר קוראים ״הכושי״/״The nigger”,0
10,#Moria Nigger,0
11,Nah this niga smart...he ain't doing all this for no reason...plus imagine selling 50k units after not dropping for 2 years...shit that's amazing compared to all this niggers who b trolling him,1
12,Nah I mean I defly understand your perspective cuz I’m also black. But calling yourself mulatto or nigger doesn’t make it less racist it just normalizes the term so now it’s used more in conversation. That’s just the reality,-1
13,she's a legend. She birthed everybody,0
14,niggers,0
15,"... They no longer need an unimportant nigger like me cuz they already got what they needed they're important enough to have the lead, they got what they needed after they were sure they got the elections they came to the conclusion they don't need me or what I offer anymore",1
16,Yup!https://twitter.com/divineangei/status/1304555635212800000 …,0
17,"I guarantee you people from Louisiana gonna cone out of the woodworks trying to claim me once I reach higher levels of success. I’ll hit them with that “Harpo, who dis?” ... Cuz last time I checked ya’ll boycotted me & called me a nigger. No thanks. #TheSinginChef #BlackTwitter",1
18,I stopped taking risks and life been real stagnant lately,-1
19,Damn nigger,0
20,"Très drôle aussi, le traiter de raciste à cause de ""Rock'n'Roll Nigger"", ou encore d'homophobe quand on sait avec qui il s'envoyait en l'air dans les toilettes... Aveuglées d'inculture crasse, de haine, et cette dépendance au buzz via les RS, et exister à travers eux..",0
21,"You're either ignorant af or little chetniks. Šiptari is definetively a slur and it's common sense. It's used in a derogative way. Your word for us is Albanac. Black people can call themselves nigger, but when whites do it it's derogative. Don't use it.",-1
22,"Lmaooo nah shawty in the sundress was wylin, how you callin people nigger wit no draws on cmon baby",0
23,#RedDeadRedemption2 #XboxSharepic.twitter.com/kZ8bnx47As,0
24,Every day I work on democrat polls trying to make sure they vote for them and because I was successful instead of welcoming my ideas to make change in return for my gesture of good faith they felt they no longer need an unimportant nigger like me because they got what they needed,1
25,some of y'all like celebrities a lil too much,1
26,niggers,0
27,Nigger,0
28,... notchuhttps://twitter.com/peakybiynders/status/1304609171480940544 …,0
29,That's not true. If I was call a nigger I think the majority of people would call that out,-1
30,ワロス,0
31,,0
32,最低すぎるpic.twitter.com/v2l7wuZn42,0
33,make me work like some unpaid nigger they piss on for ages,1
34,Nigger,0
35,Imagine you marry a white woman and she calls you a “Nigger” mid-Honeymoon,0
36,I don't imagine that Wifebot would be too pleased with you when that monstrosity appears on your doorstep.,1
37,As it should behttps://twitter.com/signor_bobby/status/1304698248054083585 …,0
38,My shit go away for once lol (◕‿◕✿)(◕‿◕✿)(◕‿◕✿)https://twitter.com/_sarah510/status/1304675361888690183 …,1
39,"What does Meek Mill, J Cole, Nipsey, Jay Z and Big Sean have in common asides rap",-1
40,Fullham wants to slaughter these niggers.,1
41,I’m a nigger,0
42,I'll suehttps://twitter.com/breadandm/status/1304744514326876160 …,0
43,Blacks already do this,0
44,Bathong them niggers we have babies wtf is this shit https://twitter.com/BassieKayy/status/1304728466248605696 …,-1
45,I’m getting called all types of “bitch” and “house nigger” ... like what am I doing?,0
46,This happened to me not so long ago in a town i hadnt seen for somewhiles. Man the streets were so jam packed with niggers that when i desired explore all the shops i was stuck to two shops because in their number harrasment was on the cards,-1
47,"lmaooo I see now, but look, they got it at Target, gas stations. Its good for the digestive system. Its like Gingerale but w/ vinegar",1
48,"Encore une preuve de l'ignorance crasse de l'Américain·e moyen·ne : un prof de linguistique prononce le mot 那个 (""nay-guh"") qui en chinois veut dire ""hum"" ou ""ça"", ça ressemble à ""nigger"" (nègre), du coup il est viré. Puis la Chine en entend parler https://www.bbc.com/news/world-asia-china-54107329 …",0
49,These goddamn niggers are sabotaging me,0
50,"I been quiet, but I peeped you cheating on me. Dates?",0
51,I fucking hate niggers,-1
52,omggggg okay. imma hyu when my phone get fixed,1
53,きもちえ〜,0
54,Ceballos deffo called Eddie a nigger,0
55,https://twitter.com/kaytsadventures/status/1304597130833784832 …,0
56,only in yur dreams nigger ..,0
57,,0
58,"I’m forced to smile with niggers like @scoopmakhathini who don’t love me like they say they do, I can see it in the way that they move @casspernyovest.",1
59,you know... reading this I thought this was going somewhere else I thought some other kid might have said nigger or somin. https://twitter.com/__missxbri/status/1304429292085010433 …,-1
60,Mani sooo cuteeehttps://twitter.com/maniswhore/status/1304651648749445120 …,0
61,"If the NFL was ending, it would’ve been over. They love seeing niggers attack each other.",1
62,hmmm ok. I just know some darker toned celebs have been looking lighter & lighter over time.,1
63,Can Batman say nigger?,0
64,its the antidote really. it encourages transparency,1
65,"Oga madam, what are you doing concerning the killing of Biafrans by Nigger-area Armed forces?",0
66,"So when members of law enforcement says kill all niggers, do you believe them too???",0
67,Damn huyu mtoto amenifanya niwaite mara tatu tatu aisee,0
68,don't doo me. And I guess its my karma too cause my phone glitching. I have to go to sprint todaypic.twitter.com/j5RetK4TPk,0
69,Aisee wanangu hii pisi ya kiintanashinoooo #CabinetyaPisiKali @Obofficial3 @CallMeBoi1 @Kichomijr @Venancetz @hmarskov @ASSAmeyang @chafosa @dixiedamelio @pukka27 @RiyanHassan5 @miraclesb_ @yunusijr1,0
70,Nyieee mnamwona Sophy lakini #CabinetyaPisiKali @Obofficial3 @CallMeBoi1 @Kichomijr @Venancetz @hmarskov @ASSAmeyang @chafosa @dixiedamelio @pukka27 @RiyanHassan5 @miraclesb_ @yunusijr1,0
71,"@CharlizeAfrica. I know you would never use the word ""nigger"" Africa. But you would let me use it and you want me to use it don't you?",0
72,beating my tender cock to carbi b whistle singing nigger james by carbi b,0
73,Single niggers agreeing. Sihappy uzobona nje,-1
74,They both,0
75,At least I'm not that nigger that triple capped Aguero,-1
76,"Reach, you look nothing like the woman in the meme",0
77,Ila watuuu,0
78,Nah how tall are you brohttps://twitter.com/bryanmg_1/status/1304695251760807938 …,0
79,New York looking lighthttps://twitter.com/calvindewayne_/status/1304235698665521152 …,1
80,Those are objectshttps://twitter.com/wockworid/status/1304530409628336128 …,0
81,Iont like u bro don’t text me,0
82,"don't text me 'wyd', just tell me what you wanna do bitch",0
83,"smh, its always best to be deliberate & clear with intentions",1
84,instasize it,0
85,My opinion on using the world negro or like nigga or like fucking nigger... imo it is OK if it is like in porn movies or like in rap music... it is kind of like cool and edgy in a way. hehe... a bit like calling LORENZINA DE' MEDICI as cracker bitch.,1
86,"I like saying triggering stuff them following them with, ""jp"" cause I know better",1
87,I'm an offended treehttps://twitter.com/charylmwilliams/status/1304558607376289794 …,0
88,Why I keep waking up at the same time it’s creepy Nd weird,-1
89,Hate them niggers like that https://twitter.com/Druski2Funny/status/1304204325686857729 …,-1
90,"Thumbs up my nigger, where is my homie Abba John",0
91,Stupid fucking NIGGERS,-1
92,like damn nigger you not supposed to feel that way,0
93,nah Pinky as in LOLIPOP. I CALLS HER LOLIPOP!pic.twitter.com/sNgKpuDTap,0
94,RT: Blacklivesmatter followers yes I hate being called NIGGER by Arab Muslim Brothers and Sisters in Kuwait and Saudi Arabia not all racist #blacklivesmatter #blacklivesmattercanada #BlackLivesMatterUK #usa I just want pray in Makkah and Madina return USA https://twitter.com/ipcorgkw/status/1304729032123125760 …pic.twitter.com/PfKH6SAS3f,-1
95,RT: Blacklivesmatter followers yes I hate being called NIGGER by Arab Muslim Brothers and Sisters in Kuwait and Saudi Arabia not all racist #blacklivesmatter #blacklivesmattercanada #BlackLivesMatterUK #usa I just want pray in Makkah and Madina return USA https://twitter.com/hanoufalfaraj/status/1304708745155489792 …pic.twitter.com/cEjcfjuAFT,-1
96,lmaooo im weak.. Drink some Kombucha.,-1
97,#AllLivesMatter #nigger#,0
98,yea its an industry. All industries got dark sides. But yea she's pretty wise.,1
99,Not arsenal fans still having hope,0
